Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wstarts_with,strncmp,0,100,1000,0,1,0.189,5.29101e+06,189,209.6,287,500.222,22.3656,0.977093,0.509405,0.921055
wstarts_with,strncmp,10,100,1000,0,1,0.194,5.15464e+06,194,213.76,253,393.74,19.8429,0.504415,-1.37549,0.995823
wstarts_with,strncmp,20,100,1000,0,1,0.197,5.07614e+06,197,217.45,307,457.361,21.386,1.1162,1.48077,0.956233
wstarts_with,strncmp,30,100,1000,0,1,0.202,4.9505e+06,202,222.17,262,352.789,18.7827,0.413775,-1.35436,1.07386
wstarts_with,strncmp,40,100,1000,0,1,0.205,4.87805e+06,205,224.96,271,397.958,19.9489,0.458831,-1.20897,1.00056
wstarts_with,strncmp,50,100,1000,0,1,0.21,4.7619e+06,210,231.49,333,569.525,23.8647,1.17108,1.61037,0.900492
wstarts_with,strncmp,60,100,1000,0,1,0.213,4.69484e+06,213,246.72,369,847.658,29.1146,1.20175,2.69523,1.15818
wstarts_with,strncmp,70,100,1000,0,1,0.219,4.56621e+06,219,256,325,871.818,29.5266,0.142713,-1.16339,1.25311
wstarts_with,strncmp,80,100,1000,0,1,0.221,4.52489e+06,221,258.8,332,797.879,28.2467,0.314139,-0.713443,1.33821
wstarts_with,strncmp,90,100,1000,0,1,0.226,4.42478e+06,226,272.38,332,775.955,27.856,-0.173985,-0.788699,1.66499
wstarts_with,strncmp,100,100,1000,0,1,0.229,4.36681e+06,229,271.98,339,851.636,29.1828,-0.104586,-0.824916,1.47279
wstarts_with,strncmp,512,100,1000,0,1,0.407,2.457e+06,407,483.86,657,2029.62,45.0513,0.580095,1.28276,1.70606
wstarts_with,strncmp,1024,100,1000,0,1,0.626,1.59744e+06,626,729.97,853,2998.05,54.7544,-0.119253,-0.802046,1.89884
wstarts_with,strnicmp_cstr,0,100,1000,0,1.02116,0.193,5.18135e+06,193,239.55,307,586.311,24.2139,0.059724,0.182898,1.92245
wstarts_with,strnicmp_cstr,10,100,1000,0,1.04639,0.203,4.92611e+06,203,242.4,308,600.929,24.5139,0.0548666,-0.0995591,1.60725
wstarts_with,strnicmp_cstr,20,100,1000,0,1.06599,0.21,4.7619e+06,210,252.07,324,432.389,20.794,-0.116978,1.12269,2.02318
wstarts_with,strnicmp_cstr,30,100,1000,0,1.07921,0.218,4.58716e+06,218,253.92,315,639.589,25.2901,0.0781966,-0.709188,1.42032
wstarts_with,strnicmp_cstr,40,100,1000,0,1.10732,0.227,4.40529e+06,227,255.51,324,690.172,26.2711,0.441261,-0.755157,1.08522
wstarts_with,strnicmp_cstr,50,100,1000,0,1.10476,0.232,4.31034e+06,232,256.1,297,507.263,22.5225,0.296504,-1.48051,1.07004
wstarts_with,strnicmp_cstr,60,100,1000,0,1.14554,0.244,4.09836e+06,244,269.3,415,782.313,27.9699,1.7471,5.6905,0.904545
wstarts_with,strnicmp_cstr,70,100,1000,0,1.14155,0.25,4e+06,250,275.62,332,566.743,23.8064,0.603855,-0.965235,1.07618
wstarts_with,strnicmp_cstr,80,100,1000,0,1.1448,0.253,3.95257e+06,253,282.99,347,607.545,24.6484,0.552027,-0.722727,1.21671
wstarts_with,strnicmp_cstr,90,100,1000,0,1.16372,0.263,3.80228e+06,263,294.33,345,571.153,23.8988,0.271159,-1.32582,1.31094
wstarts_with,strnicmp_cstr,100,100,1000,0,1.16157,0.266,3.7594e+06,266,297.88,361,713.319,26.708,0.3955,-1.03143,1.19365
wstarts_with,strnicmp_cstr,512,100,1000,0,1.22604,0.499,2.00401e+06,499,545.39,642,1062.6,32.5976,0.230271,-0.541759,1.42311
wstarts_with,strnicmp_cstr,1024,100,1000,0,1.32748,0.831,1.20337e+06,831,880.03,1059,1686.31,41.0647,2.07398,4.98836,1.19397
wstarts_with,strnicmp_stdstr,0,100,1000,0,1.00529,0.19,5.26316e+06,190,210.64,299,414.031,20.3477,0.956943,1.5573,1.01436
wstarts_with,strnicmp_stdstr,10,100,1000,0,1.02062,0.198,5.05051e+06,198,222.09,300,447.315,21.1498,0.759421,0.103875,1.13902
wstarts_with,strnicmp_stdstr,20,100,1000,0,1.00508,0.198,5.05051e+06,198,220.02,259,360.868,18.9965,0.486208,-1.2931,1.15916
wstarts_with,strnicmp_stdstr,30,100,1000,0,1.0099,0.204,4.90196e+06,204,231.58,283,496.125,22.2739,0.498418,-1.05313,1.23822
wstarts_with,strnicmp_stdstr,40,100,1000,0,1.02927,0.211,4.73934e+06,211,235.44,362,527.077,22.9582,1.82292,7.17685,1.06455
wstarts_with,strnicmp_stdstr,50,100,1000,0,1.00952,0.212,4.71698e+06,212,237.35,297,466.553,21.5998,0.511869,-1.06368,1.17362
wstarts_with,strnicmp_stdstr,60,100,1000,0,1.02347,0.218,4.58716e+06,218,242.75,268,314.614,17.7374,-0.0309289,-1.83404,1.39536
wstarts_with,strnicmp_stdstr,70,100,1000,0,1.01826,0.223,4.4843e+06,223,248.42,306,515.559,22.7059,0.588476,-0.94138,1.11953
wstarts_with,strnicmp_stdstr,80,100,1000,0,1.03167,0.228,4.38596e+06,228,251.69,322,486.863,22.065,0.777,-0.227594,1.07365
wstarts_with,strnicmp_stdstr,90,100,1000,0,1.0177,0.23,4.34783e+06,230,274.58,325,663.438,25.7573,-0.195302,-1.06374,1.73077
wstarts_with,strnicmp_stdstr,100,100,1000,0,1.02183,0.234,4.2735e+06,234,267.19,317,569.65,23.8674,0.0863916,-1.22247,1.3906
wstarts_with,strnicmp_stdstr,512,100,1000,0,1.00737,0.41,2.43902e+06,410,487.66,591,1759.48,41.9461,-0.0632756,-0.785908,1.85142
wstarts_with,strnicmp_stdstr,1024,100,1000,0,0.98722,0.618,1.61812e+06,618,715.89,844,2425.49,49.2493,0.345614,-0.492295,1.98764
wstarts_with,boost_cstr,0,100,1000,0,1.01587,0.192,5.20833e+06,192,234.75,331,643.058,25.3586,0.441835,1.11669,1.68582
wstarts_with,boost_cstr,10,100,1000,0,1.06701,0.207,4.83092e+06,207,237.89,302,581.23,24.1087,0.384558,-0.882478,1.28128
wstarts_with,boost_cstr,20,100,1000,0,1.13198,0.223,4.4843e+06,223,274.41,324,442.143,21.0272,-0.0706837,0.0399919,2.44493
wstarts_with,boost_cstr,30,100,1000,0,1.24257,0.251,3.98406e+06,251,287.49,340,317.04,17.8056,-0.054637,0.114625,2.04935
wstarts_with,boost_cstr,40,100,1000,0,1.21951,0.25,4e+06,250,297.95,416,922.27,30.3689,0.351982,0.84452,1.57892
wstarts_with,boost_cstr,50,100,1000,0,1.25238,0.263,3.80228e+06,263,302.47,356,786.171,28.0387,-0.147288,-1.29424,1.4077
wstarts_with,boost_cstr,60,100,1000,0,1.30047,0.277,3.61011e+06,277,312.84,366,755.873,27.4931,0.124259,-1.34991,1.3036
wstarts_with,boost_cstr,70,100,1000,0,1.3105,0.287,3.48432e+06,287,324.52,390,688.596,26.2411,0.0501121,-0.852927,1.42982
wstarts_with,boost_cstr,80,100,1000,0,1.33484,0.295,3.38983e+06,295,331.34,411,778.934,27.9094,0.405468,-0.612639,1.30207
wstarts_with,boost_cstr,90,100,1000,0,1.36283,0.308,3.24675e+06,308,346.96,423,888.463,29.8071,0.291725,-0.828221,1.30707
wstarts_with,boost_cstr,100,100,1000,0,1.37991,0.316,3.16456e+06,316,356.9,497,988.737,31.4442,0.921247,2.18379,1.30072
wstarts_with,boost_cstr,512,100,1000,0,1.88452,0.767,1.30378e+06,767,825.79,911,1278.61,35.7577,0.518175,-0.169369,1.64412
wstarts_with,boost_cstr,1024,100,1000,0,2.16613,1.356,737463,1356,1432.89,2083,7648.48,87.4556,4.63978,30.0739,0.879189
wstarts_with,boost_stdstr,0,100,1000,0,1.01058,0.191,5.2356e+06,191,227.31,275,278.458,16.6871,-0.845904,0.876531,2.17594
wstarts_with,boost_stdstr,10,100,1000,0,1.02577,0.199,5.02513e+06,199,233.48,346,500.939,22.3817,1.25079,4.5916,1.54055
wstarts_with,boost_stdstr,20,100,1000,0,1.11675,0.22,4.54545e+06,220,242.06,274,348.32,18.6633,0.18162,-1.57574,1.182
wstarts_with,boost_stdstr,30,100,1000,0,1.06931,0.216,4.62963e+06,216,244.58,309,597.155,24.4368,0.4997,-0.979006,1.16955
wstarts_with,boost_stdstr,40,100,1000,0,1.12195,0.23,4.34783e+06,230,257.03,298,557.666,23.6149,0.241645,-1.5249,1.14461
wstarts_with,boost_stdstr,50,100,1000,0,1.12857,0.237,4.21941e+06,237,266.06,314,534.138,23.1114,0.276507,-1.30878,1.25739
wstarts_with,boost_stdstr,60,100,1000,0,1.14554,0.244,4.09836e+06,244,267.22,318,503.688,22.443,0.514831,-1.10961,1.03462
wstarts_with,boost_stdstr,70,100,1000,0,1.13699,0.249,4.01606e+06,249,275.52,333,525.868,22.9318,0.5527,-0.802233,1.15647
wstarts_with,boost_stdstr,80,100,1000,0,1.1629,0.257,3.89105e+06,257,284.05,343,524.189,22.8952,0.451597,-0.991332,1.18147
wstarts_with,boost_stdstr,90,100,1000,0,1.16372,0.263,3.80228e+06,263,287.47,340,554.837,23.555,0.58409,-0.882823,1.03885
wstarts_with,boost_stdstr,100,100,1000,0,1.17467,0.269,3.71747e+06,269,295.77,393,807.27,28.4125,1.0424,0.895076,0.942191
wstarts_with,boost_stdstr,512,100,1000,0,1.32187,0.538,1.85874e+06,538,592.44,691,1107.12,33.2734,0.224769,-0.21793,1.63614
wstarts_with,boost_stdstr,1024,100,1000,0,1.48243,0.928,1.07759e+06,928,981.68,1136,3308.3,57.5178,1.05078,-0.290023,0.933276
